device,acc_peak_th,p_th,acc_min_th,consec,mem,recall,precision,f1,fpr,fa_sessions,high_motion_fas,fa_details,falls_by_type
phone,24.0,0.6,None,2,2,0.9333333333333333,0.8235294117647058,0.8749999999999999,0.11538461538461539,3,3,"{'WALKING': 2, 'RUNNING': 1}","{'FALL_BACKWARD': 3, 'FALL_FORWARD': 4, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 4, 'FALL_RIGHT': 2}"
phone,24.0,0.6,8.0,2,2,0.9333333333333333,0.8235294117647058,0.8749999999999999,0.11538461538461539,3,3,"{'WALKING': 2, 'RUNNING': 1}","{'FALL_BACKWARD': 3, 'FALL_FORWARD': 4, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 4, 'FALL_RIGHT': 2}"
phone,24.0,0.4,None,2,2,1.0,0.75,0.8571428571428571,0.19230769230769232,5,3,"{'WALKING': 2, 'RUNNING': 1, 'SIT_DOWN': 1, 'PICKING_UP_OBJECT': 1}","{'FALL_BACKWARD': 3, 'FALL_FORWARD': 4, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 5, 'FALL_RIGHT': 2}"
phone,24.0,0.4,8.0,2,2,1.0,0.75,0.8571428571428571,0.19230769230769232,5,3,"{'WALKING': 2, 'RUNNING': 1, 'SIT_DOWN': 1, 'PICKING_UP_OBJECT': 1}","{'FALL_BACKWARD': 3, 'FALL_FORWARD': 4, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 5, 'FALL_RIGHT': 2}"
phone,24.0,0.45,None,2,2,1.0,0.75,0.8571428571428571,0.19230769230769232,5,3,"{'WALKING': 2, 'RUNNING': 1, 'SIT_DOWN': 1, 'PICKING_UP_OBJECT': 1}","{'FALL_BACKWARD': 3, 'FALL_FORWARD': 4, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 5, 'FALL_RIGHT': 2}"
phone,24.0,0.45,8.0,2,2,1.0,0.75,0.8571428571428571,0.19230769230769232,5,3,"{'WALKING': 2, 'RUNNING': 1, 'SIT_DOWN': 1, 'PICKING_UP_OBJECT': 1}","{'FALL_BACKWARD': 3, 'FALL_FORWARD': 4, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 5, 'FALL_RIGHT': 2}"
phone,26.0,0.4,None,2,2,1.0,0.75,0.8571428571428571,0.19230769230769232,5,3,"{'WALKING': 2, 'RUNNING': 1, 'SIT_DOWN': 1, 'PICKING_UP_OBJECT': 1}","{'FALL_BACKWARD': 3, 'FALL_FORWARD': 4, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 5, 'FALL_RIGHT': 2}"
phone,26.0,0.4,8.0,2,2,1.0,0.75,0.8571428571428571,0.19230769230769232,5,3,"{'WALKING': 2, 'RUNNING': 1, 'SIT_DOWN': 1, 'PICKING_UP_OBJECT': 1}","{'FALL_BACKWARD': 3, 'FALL_FORWARD': 4, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 5, 'FALL_RIGHT': 2}"
phone,26.0,0.45,None,2,2,1.0,0.75,0.8571428571428571,0.19230769230769232,5,3,"{'WALKING': 2, 'RUNNING': 1, 'SIT_DOWN': 1, 'PICKING_UP_OBJECT': 1}","{'FALL_BACKWARD': 3, 'FALL_FORWARD': 4, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 5, 'FALL_RIGHT': 2}"
phone,26.0,0.45,8.0,2,2,1.0,0.75,0.8571428571428571,0.19230769230769232,5,3,"{'WALKING': 2, 'RUNNING': 1, 'SIT_DOWN': 1, 'PICKING_UP_OBJECT': 1}","{'FALL_BACKWARD': 3, 'FALL_FORWARD': 4, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 5, 'FALL_RIGHT': 2}"
