device,acc_peak_th,p_th,acc_min_th,consec,mem,recall,precision,f1,fpr,fa_sessions,high_motion_fas,fa_details,falls_by_type
watch,18.0,0.6,None,1,3,1.0,0.625,0.7692307692307693,0.24,6,3,"{'LYING_DOWN': 1, 'JUMPING': 3, 'STANDING': 2}","{'FALL_BACKWARD': 1, 'FALL_FORWARD': 5, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 1, 'FALL_RIGHT': 2}"
watch,18.0,0.6,8.0,1,3,1.0,0.625,0.7692307692307693,0.24,6,3,"{'LYING_DOWN': 1, 'JUMPING': 3, 'STANDING': 2}","{'FALL_BACKWARD': 1, 'FALL_FORWARD': 5, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 1, 'FALL_RIGHT': 2}"
watch,20.0,0.6,None,1,3,1.0,0.625,0.7692307692307693,0.24,6,3,"{'LYING_DOWN': 1, 'JUMPING': 3, 'STANDING': 2}","{'FALL_BACKWARD': 1, 'FALL_FORWARD': 5, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 1, 'FALL_RIGHT': 2}"
watch,20.0,0.6,8.0,1,3,1.0,0.625,0.7692307692307693,0.24,6,3,"{'LYING_DOWN': 1, 'JUMPING': 3, 'STANDING': 2}","{'FALL_BACKWARD': 1, 'FALL_FORWARD': 5, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 1, 'FALL_RIGHT': 2}"
watch,22.0,0.55,None,1,3,1.0,0.625,0.7692307692307693,0.24,6,3,"{'LYING_DOWN': 1, 'JUMPING': 3, 'STANDING': 2}","{'FALL_BACKWARD': 1, 'FALL_FORWARD': 5, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 1, 'FALL_RIGHT': 2}"
watch,22.0,0.55,8.0,1,3,1.0,0.625,0.7692307692307693,0.24,6,3,"{'LYING_DOWN': 1, 'JUMPING': 3, 'STANDING': 2}","{'FALL_BACKWARD': 1, 'FALL_FORWARD': 5, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 1, 'FALL_RIGHT': 2}"
watch,22.0,0.6,None,1,3,1.0,0.625,0.7692307692307693,0.24,6,3,"{'LYING_DOWN': 1, 'JUMPING': 3, 'STANDING': 2}","{'FALL_BACKWARD': 1, 'FALL_FORWARD': 5, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 1, 'FALL_RIGHT': 2}"
watch,22.0,0.6,8.0,1,3,1.0,0.625,0.7692307692307693,0.24,6,3,"{'LYING_DOWN': 1, 'JUMPING': 3, 'STANDING': 2}","{'FALL_BACKWARD': 1, 'FALL_FORWARD': 5, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 1, 'FALL_RIGHT': 2}"
watch,25.0,0.55,None,1,3,1.0,0.625,0.7692307692307693,0.24,6,3,"{'LYING_DOWN': 1, 'JUMPING': 3, 'STANDING': 2}","{'FALL_BACKWARD': 1, 'FALL_FORWARD': 5, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 1, 'FALL_RIGHT': 2}"
watch,25.0,0.55,8.0,1,3,1.0,0.625,0.7692307692307693,0.24,6,3,"{'LYING_DOWN': 1, 'JUMPING': 3, 'STANDING': 2}","{'FALL_BACKWARD': 1, 'FALL_FORWARD': 5, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 1, 'FALL_RIGHT': 2}"
watch,25.0,0.6,None,1,3,1.0,0.625,0.7692307692307693,0.24,6,3,"{'LYING_DOWN': 1, 'JUMPING': 3, 'STANDING': 2}","{'FALL_BACKWARD': 1, 'FALL_FORWARD': 5, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 1, 'FALL_RIGHT': 2}"
watch,25.0,0.6,8.0,1,3,1.0,0.625,0.7692307692307693,0.24,6,3,"{'LYING_DOWN': 1, 'JUMPING': 3, 'STANDING': 2}","{'FALL_BACKWARD': 1, 'FALL_FORWARD': 5, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 1, 'FALL_RIGHT': 2}"
watch,28.0,0.55,None,1,3,1.0,0.625,0.7692307692307693,0.24,6,3,"{'LYING_DOWN': 1, 'JUMPING': 3, 'STANDING': 2}","{'FALL_BACKWARD': 1, 'FALL_FORWARD': 5, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 1, 'FALL_RIGHT': 2}"
watch,28.0,0.55,8.0,1,3,1.0,0.625,0.7692307692307693,0.24,6,3,"{'LYING_DOWN': 1, 'JUMPING': 3, 'STANDING': 2}","{'FALL_BACKWARD': 1, 'FALL_FORWARD': 5, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 1, 'FALL_RIGHT': 2}"
watch,28.0,0.6,None,1,3,1.0,0.625,0.7692307692307693,0.24,6,3,"{'LYING_DOWN': 1, 'JUMPING': 3, 'STANDING': 2}","{'FALL_BACKWARD': 1, 'FALL_FORWARD': 5, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 1, 'FALL_RIGHT': 2}"
watch,28.0,0.6,8.0,1,3,1.0,0.625,0.7692307692307693,0.24,6,3,"{'LYING_DOWN': 1, 'JUMPING': 3, 'STANDING': 2}","{'FALL_BACKWARD': 1, 'FALL_FORWARD': 5, 'FALL_FROM_SITTING': 1, 'FALL_LEFT': 1, 'FALL_RIGHT': 2}"
