--------- beginning of main
09-02 16:47:17.440 22240  1834 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.9397, AccPeak=13.25, AccMin=9.28, AccRange=3.97, AccStd=0.83, GyroPeak=1.76, JerkPeak=36.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=9ms
--------- beginning of system
09-02 16:47:17.805 22240  1839 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.8241, AccPeak=19.16, AccMin=9.28, AccRange=9.88, AccStd=2.14, GyroPeak=3.52, JerkPeak=133.1, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=7ms
09-02 16:47:18.178 22240  2159 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.7065, AccPeak=19.16, AccMin=5.72, AccRange=13.44, AccStd=2.58, GyroPeak=3.52, JerkPeak=231.1, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=4ms
09-02 16:47:18.529 22240  1839 I PhoneFallML: Potential impact collision detected! AccPeak=32.487766, JerkPeak=733.86896. Awaiting post-impact stillness confirmation.
09-02 16:47:18.532 22240  1839 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.7109, AccPeak=32.49, AccMin=5.72, AccRange=26.77, AccStd=4.87, GyroPeak=3.51, JerkPeak=733.9, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=4ms
09-02 16:47:18.896 22240  1835 I PhoneFallML: Potential impact collision detected! AccPeak=32.487766, JerkPeak=733.86896. Awaiting post-impact stillness confirmation.
09-02 16:47:18.902 22240  1835 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.6967, AccPeak=32.49, AccMin=5.87, AccRange=26.62, AccStd=5.70, GyroPeak=8.80, JerkPeak=733.9, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=7ms
09-02 16:47:19.278 22240  1836 D PhoneFallML: Locomotion cadence detected after shock (AccStd=5.0965247, GyroPeak=9.4989). Aborting false alarm.
09-02 16:47:19.282 22240  1836 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.9472, AccPeak=25.10, AccMin=4.89, AccRange=20.21, AccStd=5.10, GyroPeak=9.50, JerkPeak=234.0, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=6ms
09-02 16:47:19.712 22240  1839 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.9866, AccPeak=25.10, AccMin=4.89, AccRange=20.21, AccStd=4.34, GyroPeak=9.50, JerkPeak=234.0, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=48ms
09-02 16:47:20.018 22240  1836 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.9378, AccPeak=23.86, AccMin=6.52, AccRange=17.34, AccStd=3.18, GyroPeak=9.50, JerkPeak=201.0, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=3ms
09-02 16:47:20.348 22240  1839 I PhoneFallML: Potential impact collision detected! AccPeak=30.960476, JerkPeak=636.2415. Awaiting post-impact stillness confirmation.
09-02 16:47:20.350 22240  1839 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.9332, AccPeak=30.96, AccMin=5.61, AccRange=25.35, AccStd=4.09, GyroPeak=6.67, JerkPeak=636.2, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=9ms
09-02 16:47:20.694 22240  1835 I PhoneFallML: Potential impact collision detected! AccPeak=30.960476, JerkPeak=636.2415. Awaiting post-impact stillness confirmation.
09-02 16:47:20.698 22240  1835 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.7941, AccPeak=30.96, AccMin=2.40, AccRange=28.56, AccStd=4.62, GyroPeak=6.18, JerkPeak=636.2, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=4ms
09-02 16:47:21.051 22240  1835 D PhoneFallML: Activity=WALKING, FallProb=0.4979, AccPeak=22.50, AccMin=2.40, AccRange=20.10, AccStd=3.41, GyroPeak=3.45, JerkPeak=347.4, Impact=false, TemporalScore=3, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=8ms
09-02 16:47:45.319 22240  2159 I PhoneFallML: Potential impact collision detected! AccPeak=28.181496, JerkPeak=690.8787. Awaiting post-impact stillness confirmation.
09-02 16:47:45.321 22240  2159 D PhoneFallML: Activity=FALL_FROM_SITTING, FallProb=0.9872, AccPeak=28.18, AccMin=4.62, AccRange=23.56, AccStd=5.33, GyroPeak=6.32, JerkPeak=690.9, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=5ms
09-02 16:47:45.671 22240  2156 I PhoneFallML: Potential impact collision detected! AccPeak=28.181496, JerkPeak=439.9097. Awaiting post-impact stillness confirmation.
09-02 16:47:45.675 22240  2156 D PhoneFallML: Activity=FALL_LEFT, FallProb=0.9575, AccPeak=28.18, AccMin=5.54, AccRange=22.64, AccStd=5.67, GyroPeak=6.32, JerkPeak=439.9, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=9ms
09-02 16:47:46.038 22240  1836 I PhoneFallML: Potential impact collision detected! AccPeak=51.877903, JerkPeak=1026.4939. Awaiting post-impact stillness confirmation.
09-02 16:47:46.040 22240  1836 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.9938, AccPeak=51.88, AccMin=5.25, AccRange=46.62, AccStd=7.79, GyroPeak=8.46, JerkPeak=1026.5, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=5ms
09-02 16:47:46.386 22240  1836 I PhoneFallML: Potential impact collision detected! AccPeak=51.877903, JerkPeak=1026.4939. Awaiting post-impact stillness confirmation.
09-02 16:47:46.389 22240  1836 D PhoneFallML: Activity=FALL_LEFT, FallProb=0.9981, AccPeak=51.88, AccMin=5.25, AccRange=46.62, AccStd=7.39, GyroPeak=8.75, JerkPeak=1026.5, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=6ms
09-02 16:47:46.741 22240  2156 I PhoneFallML: Potential impact collision detected! AccPeak=24.997616, JerkPeak=376.80695. Awaiting post-impact stillness confirmation.
09-02 16:47:46.745 22240  2156 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.9870, AccPeak=25.00, AccMin=6.90, AccRange=18.10, AccStd=3.83, GyroPeak=8.75, JerkPeak=376.8, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=5ms
09-02 16:47:47.119 22240  1835 I PhoneFallML: Potential impact collision detected! AccPeak=36.37201, JerkPeak=946.35144. Awaiting post-impact stillness confirmation.
09-02 16:47:47.119 22240  1835 D PhoneFallML: Activity=FALL_LEFT, FallProb=0.9963, AccPeak=36.37, AccMin=5.15, AccRange=31.22, AccStd=6.47, GyroPeak=9.47, JerkPeak=946.4, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=33ms
09-02 16:47:47.471 22240  1835 I PhoneFallML: Potential impact collision detected! AccPeak=36.37201, JerkPeak=1063.3704. Awaiting post-impact stillness confirmation.
09-02 16:47:47.471 22240  1835 D PhoneFallML: Activity=FALL_LEFT, FallProb=0.9990, AccPeak=36.37, AccMin=5.15, AccRange=31.22, AccStd=7.47, GyroPeak=9.49, JerkPeak=1063.4, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=35ms
09-02 16:47:47.787 22240  1834 I PhoneFallML: Potential impact collision detected! AccPeak=44.72317, JerkPeak=1063.3704. Awaiting post-impact stillness confirmation.
09-02 16:47:47.797 22240  1834 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9782, AccPeak=44.72, AccMin=5.75, AccRange=38.98, AccStd=9.45, GyroPeak=9.49, JerkPeak=1063.4, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=3ms
09-02 16:47:48.147 22240  1835 I PhoneFallML: Potential impact collision detected! AccPeak=71.687225, JerkPeak=2867.6453. Awaiting post-impact stillness confirmation.
09-02 16:47:48.148 22240  1835 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.9554, AccPeak=71.69, AccMin=3.01, AccRange=68.68, AccStd=13.15, GyroPeak=11.30, JerkPeak=2867.6, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=19ms
09-02 16:47:48.466 22240  2159 I PhoneFallML: Potential impact collision detected! AccPeak=71.687225, JerkPeak=2867.6453. Awaiting post-impact stillness confirmation.
09-02 16:47:48.468 22240  2159 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.7825, AccPeak=71.69, AccMin=3.01, AccRange=68.68, AccStd=10.18, GyroPeak=11.30, JerkPeak=2867.6, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=4ms
09-02 16:47:48.798 22240  1835 I PhoneFallML: Potential impact collision detected! AccPeak=50.4316, JerkPeak=1254.3274. Awaiting post-impact stillness confirmation.
