--------- beginning of main
--------- beginning of system
09-03 14:21:08.134 22555 25630 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.7514, AccPeak=11.81, AccMin=9.02, AccRange=2.79, AccStd=0.52, GyroPeak=1.32, JerkPeak=70.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=51ms
09-03 14:21:08.711 22555 25630 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.6090, AccPeak=11.81, AccMin=9.02, AccRange=2.79, AccStd=0.42, GyroPeak=1.32, JerkPeak=70.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=20ms
09-03 14:21:09.203 22555 25630 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.7053, AccPeak=11.17, AccMin=9.56, AccRange=1.62, AccStd=0.20, GyroPeak=0.89, JerkPeak=17.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=7ms
09-03 14:21:09.771 22555 25632 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.6233, AccPeak=11.53, AccMin=9.55, AccRange=1.98, AccStd=0.35, GyroPeak=1.18, JerkPeak=32.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=9ms
09-03 14:21:10.331 22555 25661 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.5541, AccPeak=19.61, AccMin=8.08, AccRange=11.53, AccStd=1.71, GyroPeak=1.51, JerkPeak=353.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=11ms
09-03 14:21:10.853 22555 25636 D PhoneFallML: Activity=WALKING, FallProb=0.5684, AccPeak=19.61, AccMin=8.08, AccRange=11.53, AccStd=1.70, GyroPeak=2.73, JerkPeak=353.7, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 14:21:11.362 22555 25631 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.7437, AccPeak=16.32, AccMin=8.88, AccRange=7.44, AccStd=1.11, GyroPeak=4.47, JerkPeak=153.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=7ms
09-03 14:21:11.792 22555 25632 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.7197, AccPeak=16.32, AccMin=8.02, AccRange=8.30, AccStd=1.52, GyroPeak=4.47, JerkPeak=181.5, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 14:21:12.202 22555 25636 D PhoneFallML: Activity=WALKING, FallProb=0.4984, AccPeak=15.62, AccMin=8.02, AccRange=7.60, AccStd=1.28, GyroPeak=2.57, JerkPeak=181.5, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=6ms
09-03 14:21:12.612 22555 25661 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.5625, AccPeak=13.74, AccMin=8.31, AccRange=5.44, AccStd=1.29, GyroPeak=4.00, JerkPeak=134.8, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=6ms
09-03 14:21:13.017 22555 25631 D PhoneFallML: Activity=WALKING, FallProb=0.4389, AccPeak=17.36, AccMin=8.31, AccRange=9.06, AccStd=1.70, GyroPeak=4.00, JerkPeak=133.6, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=7ms
09-03 14:21:13.423 22555 25632 D PhoneFallML: Activity=WALKING, FallProb=0.3614, AccPeak=17.36, AccMin=7.50, AccRange=9.86, AccStd=1.56, GyroPeak=2.78, JerkPeak=133.6, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=7ms
09-03 14:21:13.807 22555 25636 D PhoneFallML: Activity=WALKING, FallProb=0.4404, AccPeak=13.74, AccMin=5.50, AccRange=8.23, AccStd=1.98, GyroPeak=3.49, JerkPeak=102.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=5ms
09-03 14:21:14.176 22555 25630 I PhoneFallML: Potential impact collision detected! AccPeak=74.40502, JerkPeak=2607.8606. Awaiting post-impact stillness confirmation.
09-03 14:21:14.185 22555 25630 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.8718, AccPeak=74.41, AccMin=5.50, AccRange=68.90, AccStd=8.57, GyroPeak=7.66, JerkPeak=2607.9, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=4ms
09-03 14:21:14.557 22555 25632 I PhoneFallML: Potential impact collision detected! AccPeak=79.50989, JerkPeak=3316.9084. Awaiting post-impact stillness confirmation.
09-03 14:21:14.563 22555 25632 D PhoneFallML: Activity=FALL_LEFT, FallProb=0.9820, AccPeak=79.51, AccMin=3.34, AccRange=76.17, AccStd=13.83, GyroPeak=12.86, JerkPeak=3316.9, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=5ms
09-03 14:21:14.918 22555 25632 I PhoneFallML: Potential impact collision detected! AccPeak=79.50989, JerkPeak=3316.9084. Awaiting post-impact stillness confirmation.
09-03 14:21:14.928 22555 25632 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.7314, AccPeak=79.51, AccMin=3.34, AccRange=76.17, AccStd=11.73, GyroPeak=12.86, JerkPeak=3316.9, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=2ms
09-03 14:21:15.330 22555 25661 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9386, AccPeak=10.07, AccMin=9.73, AccRange=0.34, AccStd=0.04, GyroPeak=0.59, JerkPeak=13.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=6ms
09-03 14:21:15.392 22555 22555 I PhoneFallML: Starting 10-second emergency countdown...
09-03 14:21:15.794 22555 25632 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9523, AccPeak=10.22, AccMin=9.82, AccRange=0.40, AccStd=0.05, GyroPeak=0.03, JerkPeak=11.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=6ms
09-03 14:21:16.183 22555 25661 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9514, AccPeak=10.32, AccMin=9.81, AccRange=0.51, AccStd=0.09, GyroPeak=0.03, JerkPeak=16.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-03 14:21:16.571 22555 25636 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9520, AccPeak=10.32, AccMin=9.81, AccRange=0.52, AccStd=0.08, GyroPeak=0.03, JerkPeak=16.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-03 14:21:16.938 22555 25661 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9534, AccPeak=10.23, AccMin=9.78, AccRange=0.44, AccStd=0.06, GyroPeak=0.04, JerkPeak=19.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=4ms
09-03 14:21:17.329 22555 25633 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9528, AccPeak=10.39, AccMin=9.78, AccRange=0.60, AccStd=0.10, GyroPeak=0.04, JerkPeak=19.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=8ms
09-03 14:21:17.686 22555 25632 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9494, AccPeak=10.39, AccMin=9.80, AccRange=0.58, AccStd=0.08, GyroPeak=0.04, JerkPeak=19.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=3ms
09-03 14:21:18.038 22555 25630 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9504, AccPeak=10.24, AccMin=9.80, AccRange=0.44, AccStd=0.06, GyroPeak=0.03, JerkPeak=19.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=3ms
09-03 14:21:18.443 22555 25633 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9447, AccPeak=10.26, AccMin=9.80, AccRange=0.46, AccStd=0.09, GyroPeak=0.03, JerkPeak=22.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=4ms
09-03 14:21:18.792 22555 25633 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9314, AccPeak=10.31, AccMin=9.81, AccRange=0.50, AccStd=0.10, GyroPeak=0.03, JerkPeak=24.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=4ms
