--------- beginning of main
--------- beginning of system
09-02 19:04:46.388 22240  1834 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9138, AccPeak=10.80, AccMin=9.55, AccRange=1.26, AccStd=0.30, GyroPeak=1.39, JerkPeak=21.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=12ms
09-02 19:04:46.741 22240  2159 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9433, AccPeak=10.54, AccMin=9.55, AccRange=0.99, AccStd=0.24, GyroPeak=1.00, JerkPeak=20.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=7ms
09-02 19:04:47.132 22240  1837 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.8253, AccPeak=12.99, AccMin=9.33, AccRange=3.66, AccStd=0.75, GyroPeak=1.76, JerkPeak=66.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=6ms
09-02 19:04:47.496 22240  3006 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.8032, AccPeak=12.99, AccMin=8.92, AccRange=4.07, AccStd=0.83, GyroPeak=2.48, JerkPeak=66.3, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=8ms
09-02 19:04:47.855 22240 29345 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.7099, AccPeak=15.57, AccMin=8.92, AccRange=6.65, AccStd=1.42, GyroPeak=2.48, JerkPeak=72.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=6ms
09-02 19:04:48.258 22240 29345 D PhoneFallML: Activity=WALKING, FallProb=0.4318, AccPeak=15.57, AccMin=7.90, AccRange=7.67, AccStd=1.60, GyroPeak=2.21, JerkPeak=72.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=7ms
09-02 19:04:48.610 22240  1837 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.7548, AccPeak=12.35, AccMin=7.90, AccRange=4.45, AccStd=0.96, GyroPeak=1.19, JerkPeak=53.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=8ms
09-02 19:04:48.992 22240 29345 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9310, AccPeak=10.66, AccMin=9.37, AccRange=1.28, AccStd=0.29, GyroPeak=1.46, JerkPeak=19.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=4ms
09-02 19:04:49.367 22240 27959 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9252, AccPeak=10.66, AccMin=9.37, AccRange=1.28, AccStd=0.23, GyroPeak=1.46, JerkPeak=19.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=8ms
09-02 19:04:49.709 22240  3006 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9383, AccPeak=10.24, AccMin=9.83, AccRange=0.41, AccStd=0.10, GyroPeak=0.59, JerkPeak=10.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=7ms
09-02 19:04:50.143 22240 29345 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9544, AccPeak=10.24, AccMin=9.73, AccRange=0.51, AccStd=0.11, GyroPeak=0.50, JerkPeak=7.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 19:04:50.481 22240 29345 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9369, AccPeak=10.67, AccMin=9.73, AccRange=0.94, AccStd=0.17, GyroPeak=0.99, JerkPeak=14.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
09-02 19:04:50.857 22240 29345 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.8654, AccPeak=10.67, AccMin=9.85, AccRange=0.82, AccStd=0.16, GyroPeak=0.99, JerkPeak=14.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=4ms
09-02 19:04:51.214 22240 29381 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.8796, AccPeak=10.33, AccMin=9.85, AccRange=0.47, AccStd=0.09, GyroPeak=0.72, JerkPeak=6.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
09-02 19:04:51.600 22240  3006 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9154, AccPeak=10.15, AccMin=9.92, AccRange=0.23, AccStd=0.06, GyroPeak=0.51, JerkPeak=4.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
09-02 19:04:51.951 22240  1834 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9351, AccPeak=14.60, AccMin=8.35, AccRange=6.25, AccStd=0.77, GyroPeak=5.54, JerkPeak=242.5, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=7ms
09-02 19:04:52.306 22240 29381 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.8672, AccPeak=14.60, AccMin=7.30, AccRange=7.30, AccStd=1.23, GyroPeak=5.54, JerkPeak=242.5, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=7ms
09-02 19:04:52.650 22240 27959 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.8235, AccPeak=14.06, AccMin=7.30, AccRange=6.75, AccStd=0.98, GyroPeak=2.98, JerkPeak=142.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=4ms
09-02 19:04:53.002 22240 27959 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.7614, AccPeak=10.72, AccMin=9.29, AccRange=1.43, AccStd=0.31, GyroPeak=0.77, JerkPeak=31.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=6ms
09-02 19:04:53.362 22240  1834 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.7659, AccPeak=10.72, AccMin=9.29, AccRange=1.43, AccStd=0.34, GyroPeak=1.44, JerkPeak=31.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
09-02 19:04:53.733 22240  3006 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.8486, AccPeak=10.74, AccMin=9.20, AccRange=1.54, AccStd=0.32, GyroPeak=1.44, JerkPeak=26.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
09-02 19:04:54.097 22240 27959 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9534, AccPeak=10.74, AccMin=9.20, AccRange=1.54, AccStd=0.22, GyroPeak=1.21, JerkPeak=26.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 19:04:54.466 22240  3006 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9632, AccPeak=10.66, AccMin=9.78, AccRange=0.88, AccStd=0.14, GyroPeak=0.65, JerkPeak=8.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
09-02 19:04:54.833 22240  3006 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9256, AccPeak=10.66, AccMin=8.90, AccRange=1.76, AccStd=0.37, GyroPeak=1.34, JerkPeak=13.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
09-02 19:04:55.208 22240 27959 I PhoneFallML: Potential impact collision detected! AccPeak=46.822002, JerkPeak=1771.0598. Awaiting post-impact stillness confirmation.
09-02 19:04:55.214 22240 27959 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.8437, AccPeak=46.82, AccMin=8.90, AccRange=37.93, AccStd=5.24, GyroPeak=5.50, JerkPeak=1771.1, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=5ms
09-02 19:04:55.582 22240  3006 I PhoneFallML: Potential impact collision detected! AccPeak=46.822002, JerkPeak=1771.0598. Awaiting post-impact stillness confirmation.
09-02 19:04:55.583 22240  3006 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.8675, AccPeak=46.82, AccMin=9.47, AccRange=37.35, AccStd=5.18, GyroPeak=5.50, JerkPeak=1771.1, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=5ms
09-02 19:04:55.968 22240 22240 I PhoneFallML: Starting 10-second emergency countdown...
09-02 19:04:55.969 22240 27959 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.8682, AccPeak=10.91, AccMin=9.39, AccRange=1.52, AccStd=0.38, GyroPeak=1.08, JerkPeak=20.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=4ms
09-02 19:04:56.374 22240 29381 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9043, AccPeak=11.66, AccMin=8.81, AccRange=2.85, AccStd=0.59, GyroPeak=1.27, JerkPeak=105.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=18ms
09-02 19:04:56.727 22240  1837 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9100, AccPeak=11.66, AccMin=8.81, AccRange=2.85, AccStd=0.67, GyroPeak=1.27, JerkPeak=105.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-02 19:04:57.118 22240 27959 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9411, AccPeak=11.14, AccMin=8.98, AccRange=2.16, AccStd=0.46, GyroPeak=0.60, JerkPeak=104.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-02 19:04:57.478 22240 27959 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9368, AccPeak=11.11, AccMin=8.73, AccRange=2.39, AccStd=0.57, GyroPeak=1.19, JerkPeak=100.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=7ms
09-02 19:04:57.865 22240  2159 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.6414, AccPeak=28.13, AccMin=6.94, AccRange=21.19, AccStd=2.72, GyroPeak=2.80, JerkPeak=833.3, Impact=true, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=8ms
09-02 19:04:58.250 22240  3006 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.7352, AccPeak=28.13, AccMin=6.94, AccRange=21.19, AccStd=2.63, GyroPeak=2.80, JerkPeak=833.3, Impact=true, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=4ms
09-02 19:04:58.626 22240  1834 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9081, AccPeak=11.40, AccMin=8.25, AccRange=3.16, AccStd=0.63, GyroPeak=1.44, JerkPeak=99.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=4ms
09-02 19:04:58.982 22240  2159 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.8871, AccPeak=11.87, AccMin=8.25, AccRange=3.62, AccStd=0.60, GyroPeak=1.44, JerkPeak=114.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-02 19:04:59.349 22240 27959 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9075, AccPeak=11.87, AccMin=8.99, AccRange=2.88, AccStd=0.53, GyroPeak=1.20, JerkPeak=102.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=4ms
09-02 19:04:59.733 22240  3006 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.7633, AccPeak=11.14, AccMin=8.83, AccRange=2.31, AccStd=0.55, GyroPeak=0.94, JerkPeak=110.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=8ms
09-02 19:05:00.115 22240  1837 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.5140, AccPeak=11.10, AccMin=8.83, AccRange=2.27, AccStd=0.49, GyroPeak=1.21, JerkPeak=110.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-02 19:05:00.470 22240  1837 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.7664, AccPeak=12.17, AccMin=7.88, AccRange=4.29, AccStd=0.79, GyroPeak=1.56, JerkPeak=139.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=8ms
09-02 19:05:00.823 22240 27959 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.7524, AccPeak=13.30, AccMin=7.88, AccRange=5.43, AccStd=1.21, GyroPeak=1.75, JerkPeak=139.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-02 19:05:01.203 22240 27959 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.7918, AccPeak=13.30, AccMin=8.22, AccRange=5.08, AccStd=1.04, GyroPeak=1.75, JerkPeak=98.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=7ms
09-02 19:05:01.576 22240 29345 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.8091, AccPeak=13.97, AccMin=7.62, AccRange=6.35, AccStd=1.24, GyroPeak=1.84, JerkPeak=98.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=6ms
09-02 19:05:01.935 22240 27959 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9491, AccPeak=13.97, AccMin=7.62, AccRange=6.35, AccStd=1.23, GyroPeak=1.84, JerkPeak=102.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=7ms
09-02 19:05:02.308 22240  2159 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9851, AccPeak=11.25, AccMin=8.94, AccRange=2.31, AccStd=0.48, GyroPeak=0.78, JerkPeak=102.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=3ms
09-02 19:05:03.078 22240 29345 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9252, AccPeak=81.63, AccMin=6.53, AccRange=75.09, AccStd=7.19, GyroPeak=2.72, JerkPeak=3508.2, Impact=true, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=FALL_SUSPECTED, Latency=6ms
09-02 19:05:03.438 22240 29345 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.8275, AccPeak=81.63, AccMin=6.53, AccRange=75.09, AccStd=7.20, GyroPeak=2.72, JerkPeak=3508.2, Impact=true, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=FALL_SUSPECTED, Latency=4ms
09-02 19:05:03.842 22240 29345 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9172, AccPeak=13.38, AccMin=7.69, AccRange=5.69, AccStd=1.06, GyroPeak=2.17, JerkPeak=128.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=7ms
09-02 19:05:04.244 22240  1834 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9545, AccPeak=12.39, AccMin=8.47, AccRange=3.92, AccStd=0.66, GyroPeak=2.17, JerkPeak=128.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-02 19:05:04.646 22240  2159 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9675, AccPeak=11.77, AccMin=8.97, AccRange=2.80, AccStd=0.46, GyroPeak=1.64, JerkPeak=97.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=8ms
09-02 19:05:05.066 22240  2159 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.9512, AccPeak=15.31, AccMin=8.89, AccRange=6.42, AccStd=0.74, GyroPeak=0.86, JerkPeak=294.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=27ms
09-02 19:05:05.377 22240  2159 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.8223, AccPeak=16.11, AccMin=8.89, AccRange=7.21, AccStd=1.32, GyroPeak=2.38, JerkPeak=294.6, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=17ms
09-02 19:05:05.749 22240  2159 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.8638, AccPeak=16.11, AccMin=8.33, AccRange=7.78, AccStd=1.27, GyroPeak=2.38, JerkPeak=262.6, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-02 19:05:06.081 22240 22240 W PhoneFallML: Countdown expired! Escalating to FALL_CONFIRMED -> SOS_TRIGGERED
09-02 19:05:06.154 22240 29345 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.6595, AccPeak=17.97, AccMin=5.14, AccRange=12.82, AccStd=1.96, GyroPeak=2.10, JerkPeak=328.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=3ms
09-02 19:05:06.596 22240  3006 D PhoneFallML: Activity=WALKING, FallProb=0.1647, AccPeak=17.97, AccMin=5.14, AccRange=12.82, AccStd=2.45, GyroPeak=2.10, JerkPeak=328.8, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=3ms
