--------- beginning of main
--------- beginning of system
09-02 19:02:15.476 22240 27959 D PhoneFallML: Activity=WALKING, FallProb=0.4141, AccPeak=10.67, AccMin=9.74, AccRange=0.93, AccStd=0.12, GyroPeak=3.96, JerkPeak=27.7, Impact=false, TemporalScore=3, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=20ms
09-02 19:02:15.837 22240 22240 I PhoneFallML: Starting 10-second emergency countdown...
09-02 19:02:15.840 22240  3006 D PhoneFallML: Activity=WALKING, FallProb=0.5538, AccPeak=10.29, AccMin=9.77, AccRange=0.52, AccStd=0.11, GyroPeak=0.62, JerkPeak=13.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=8ms
09-02 19:02:16.247 22240  1839 D PhoneFallML: Activity=WALKING, FallProb=0.5473, AccPeak=11.53, AccMin=6.79, AccRange=4.74, AccStd=0.70, GyroPeak=2.14, JerkPeak=101.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=21ms
09-02 19:02:16.584 22240  1839 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.6342, AccPeak=14.58, AccMin=5.23, AccRange=9.35, AccStd=1.82, GyroPeak=2.86, JerkPeak=153.6, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=7ms
09-02 19:02:16.969 22240  3006 D PhoneFallML: Activity=WALKING, FallProb=0.3876, AccPeak=15.77, AccMin=5.23, AccRange=10.54, AccStd=2.29, GyroPeak=2.86, JerkPeak=153.6, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=6ms
09-02 19:02:17.339 22240 27959 D PhoneFallML: Activity=WALKING, FallProb=0.3593, AccPeak=15.77, AccMin=7.43, AccRange=8.34, AccStd=1.77, GyroPeak=2.13, JerkPeak=199.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-02 19:02:17.716 22240  2309 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8002, AccPeak=12.33, AccMin=7.58, AccRange=4.75, AccStd=1.18, GyroPeak=0.74, JerkPeak=222.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-02 19:02:18.116 22240 27959 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.7997, AccPeak=12.33, AccMin=6.89, AccRange=5.44, AccStd=1.16, GyroPeak=1.03, JerkPeak=222.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=7ms
09-02 19:02:18.494 22240  3006 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.6153, AccPeak=15.41, AccMin=6.71, AccRange=8.70, AccStd=2.01, GyroPeak=2.93, JerkPeak=210.6, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=13ms
09-02 19:02:18.876 22240  2309 D PhoneFallML: Activity=WALKING, FallProb=0.5476, AccPeak=15.41, AccMin=6.71, AccRange=8.70, AccStd=2.20, GyroPeak=2.93, JerkPeak=210.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=7ms
09-02 19:02:19.240 22240  3006 D PhoneFallML: Activity=WALKING, FallProb=0.0683, AccPeak=11.24, AccMin=7.16, AccRange=4.07, AccStd=1.04, GyroPeak=2.06, JerkPeak=155.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=14ms
09-02 19:02:19.587 22240  1837 D PhoneFallML: Activity=WALKING, FallProb=0.3712, AccPeak=11.24, AccMin=8.85, AccRange=2.38, AccStd=0.60, GyroPeak=0.98, JerkPeak=105.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=7ms
09-02 19:02:19.990 22240  2159 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.5126, AccPeak=11.24, AccMin=8.85, AccRange=2.38, AccStd=0.49, GyroPeak=0.58, JerkPeak=105.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=8ms
09-02 19:02:20.340 22240  3006 D PhoneFallML: Activity=WALKING, FallProb=0.0934, AccPeak=12.09, AccMin=6.79, AccRange=5.30, AccStd=0.85, GyroPeak=2.41, JerkPeak=105.8, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=4ms
09-02 19:02:20.712 22240 27959 D PhoneFallML: Activity=WALKING, FallProb=0.2472, AccPeak=16.92, AccMin=6.79, AccRange=10.13, AccStd=2.13, GyroPeak=2.59, JerkPeak=213.8, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=8ms
09-02 19:02:21.096 22240 27959 D PhoneFallML: Activity=WALKING, FallProb=0.1163, AccPeak=16.92, AccMin=7.10, AccRange=9.82, AccStd=2.13, GyroPeak=2.59, JerkPeak=213.8, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=8ms
09-02 19:02:21.448 22240  1839 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.5956, AccPeak=11.76, AccMin=7.44, AccRange=4.31, AccStd=1.03, GyroPeak=1.80, JerkPeak=212.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=6ms
09-02 19:02:21.849 22240 27959 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8181, AccPeak=11.82, AccMin=7.44, AccRange=4.37, AccStd=1.05, GyroPeak=0.22, JerkPeak=212.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=6ms
09-02 19:02:22.228 22240  2309 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8664, AccPeak=11.86, AccMin=7.61, AccRange=4.25, AccStd=1.08, GyroPeak=0.20, JerkPeak=208.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=6ms
09-02 19:02:22.601 22240  1837 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8928, AccPeak=12.22, AccMin=7.04, AccRange=5.18, AccStd=1.21, GyroPeak=0.95, JerkPeak=208.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=8ms
09-02 19:02:22.979 22240  1837 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.7476, AccPeak=14.07, AccMin=7.04, AccRange=7.04, AccStd=1.55, GyroPeak=2.73, JerkPeak=170.8, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=4ms
09-02 19:02:23.383 22240  1839 D PhoneFallML: Activity=WALKING, FallProb=0.4509, AccPeak=16.02, AccMin=7.18, AccRange=8.84, AccStd=1.87, GyroPeak=2.73, JerkPeak=203.8, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=6ms
