--------- beginning of main
--------- beginning of system
09-03 13:45:45.938 15293 19853 D PhoneFallML: Locomotion cadence detected after shock (AccStd=0.2709147, GyroPeak=4.514368). Aborting false alarm.
09-03 13:45:45.940 15293 19853 D PhoneFallML: Activity=WALKING, FallProb=0.1072, AccPeak=10.05, AccMin=7.27, AccRange=2.79, AccStd=0.27, GyroPeak=4.51, JerkPeak=133.2, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=196ms
09-03 13:45:46.146 15293 19856 D PhoneFallML: Activity=WALKING, FallProb=0.0878, AccPeak=10.05, AccMin=9.81, AccRange=0.24, AccStd=0.06, GyroPeak=0.16, JerkPeak=8.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=25ms
09-03 13:45:46.494 15293 19852 D PhoneFallML: Activity=WALKING, FallProb=0.0995, AccPeak=10.01, AccMin=9.81, AccRange=0.20, AccStd=0.04, GyroPeak=0.11, JerkPeak=3.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=33ms
09-03 13:45:46.864 15293 19852 D PhoneFallML: Activity=WALKING, FallProb=0.1054, AccPeak=10.05, AccMin=9.82, AccRange=0.23, AccStd=0.04, GyroPeak=0.08, JerkPeak=10.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=8ms
09-03 13:45:47.257 15293 19856 D PhoneFallML: Activity=WALKING, FallProb=0.1060, AccPeak=10.19, AccMin=9.73, AccRange=0.46, AccStd=0.08, GyroPeak=0.55, JerkPeak=10.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=35ms
09-03 13:45:47.583 15293 28764 D PhoneFallML: Activity=WALKING, FallProb=0.1558, AccPeak=10.23, AccMin=9.71, AccRange=0.52, AccStd=0.12, GyroPeak=0.55, JerkPeak=7.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
09-03 13:45:47.971 15293 28764 D PhoneFallML: Activity=WALKING, FallProb=0.3807, AccPeak=10.23, AccMin=5.80, AccRange=4.43, AccStd=1.03, GyroPeak=2.86, JerkPeak=77.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=37ms
09-03 13:45:48.297 15293 28764 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.7505, AccPeak=14.17, AccMin=5.80, AccRange=8.37, AccStd=2.02, GyroPeak=3.18, JerkPeak=82.2, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 13:45:48.647 15293 19854 D PhoneFallML: Activity=WALKING, FallProb=0.2370, AccPeak=14.72, AccMin=4.21, AccRange=10.51, AccStd=2.07, GyroPeak=3.18, JerkPeak=525.3, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 13:45:49.002 15293 28764 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.4871, AccPeak=14.72, AccMin=4.21, AccRange=10.51, AccStd=1.48, GyroPeak=2.76, JerkPeak=525.3, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=5ms
09-03 13:45:49.368 15293 19854 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.7734, AccPeak=11.30, AccMin=8.97, AccRange=2.34, AccStd=0.32, GyroPeak=0.78, JerkPeak=44.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=4ms
09-03 13:45:49.779 15293 19856 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8839, AccPeak=10.02, AccMin=9.39, AccRange=0.62, AccStd=0.09, GyroPeak=0.37, JerkPeak=31.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=23ms
09-03 13:45:50.100 15293 19913 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8796, AccPeak=11.90, AccMin=8.31, AccRange=3.59, AccStd=0.47, GyroPeak=0.46, JerkPeak=64.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=7ms
09-03 13:45:50.572 15293 19856 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.7024, AccPeak=13.40, AccMin=7.98, AccRange=5.42, AccStd=0.95, GyroPeak=2.21, JerkPeak=201.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=9ms
09-03 13:45:50.939 15293 19852 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.7097, AccPeak=16.05, AccMin=7.98, AccRange=8.07, AccStd=1.61, GyroPeak=2.77, JerkPeak=201.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=9ms
09-03 13:45:51.325 15293 28312 D PhoneFallML: Activity=WALKING, FallProb=0.5133, AccPeak=16.05, AccMin=7.90, AccRange=8.15, AccStd=1.72, GyroPeak=2.77, JerkPeak=127.0, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=9ms
09-03 13:45:51.657 15293 19853 D PhoneFallML: Activity=WALKING, FallProb=0.2282, AccPeak=11.28, AccMin=7.90, AccRange=3.38, AccStd=0.84, GyroPeak=2.54, JerkPeak=32.2, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=10ms
09-03 13:45:52.010 15293 28764 D PhoneFallML: Activity=WALKING, FallProb=0.3624, AccPeak=11.28, AccMin=9.53, AccRange=1.75, AccStd=0.28, GyroPeak=0.85, JerkPeak=32.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:45:52.407 15293 19853 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.6448, AccPeak=10.24, AccMin=6.54, AccRange=3.70, AccStd=1.00, GyroPeak=2.43, JerkPeak=41.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 13:45:52.804 15293 28312 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.6426, AccPeak=13.49, AccMin=6.54, AccRange=6.95, AccStd=1.72, GyroPeak=2.43, JerkPeak=93.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=30ms
09-03 13:45:53.129 15293 20751 D PhoneFallML: Activity=WALKING, FallProb=0.2064, AccPeak=13.49, AccMin=7.49, AccRange=6.00, AccStd=1.33, GyroPeak=2.30, JerkPeak=93.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=14ms
09-03 13:45:53.487 15293 20751 D PhoneFallML: Activity=WALKING, FallProb=0.2695, AccPeak=12.86, AccMin=8.09, AccRange=4.77, AccStd=0.97, GyroPeak=1.37, JerkPeak=86.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=14ms
09-03 13:45:53.868 15293 28764 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.6070, AccPeak=11.21, AccMin=8.09, AccRange=3.12, AccStd=0.52, GyroPeak=0.85, JerkPeak=80.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
