--------- beginning of main
--------- beginning of system
09-02 19:03:38.085 22240  1834 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8795, AccPeak=11.07, AccMin=8.56, AccRange=2.51, AccStd=0.44, GyroPeak=1.67, JerkPeak=65.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=6ms
09-02 19:03:38.439 22240  1834 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.5328, AccPeak=12.04, AccMin=6.80, AccRange=5.24, AccStd=1.22, GyroPeak=1.87, JerkPeak=50.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=6ms
09-02 19:03:38.781 22240 29381 I PhoneFallML: Potential impact collision detected! AccPeak=24.440224, JerkPeak=883.7349. Awaiting post-impact stillness confirmation.
09-02 19:03:38.783 22240 29381 D PhoneFallML: Activity=WALKING, FallProb=0.2524, AccPeak=24.44, AccMin=6.68, AccRange=17.76, AccStd=2.79, GyroPeak=2.07, JerkPeak=883.7, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=6ms
09-02 19:03:39.147 22240 29381 I PhoneFallML: Potential impact collision detected! AccPeak=24.440224, JerkPeak=883.7349. Awaiting post-impact stillness confirmation.
09-02 19:03:39.148 22240 29381 D PhoneFallML: Activity=WALKING, FallProb=0.3439, AccPeak=24.44, AccMin=6.68, AccRange=17.76, AccStd=2.90, GyroPeak=2.25, JerkPeak=883.7, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=6ms
09-02 19:03:39.519 22240 27959 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.8134, AccPeak=14.27, AccMin=7.29, AccRange=6.98, AccStd=1.97, GyroPeak=4.62, JerkPeak=124.7, Impact=false, TemporalScore=3, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=6ms
09-02 19:03:39.874 22240 27959 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.8859, AccPeak=14.12, AccMin=7.29, AccRange=6.82, AccStd=1.56, GyroPeak=4.62, JerkPeak=46.7, Impact=false, TemporalScore=2, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=9ms
09-02 19:03:40.227 22240 22240 I PhoneFallML: Starting 10-second emergency countdown...
09-02 19:03:40.228 22240  1834 D PhoneFallML: Activity=FALL_FROM_SITTING, FallProb=0.9173, AccPeak=11.03, AccMin=7.62, AccRange=3.41, AccStd=0.71, GyroPeak=1.20, JerkPeak=22.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=4ms
09-02 19:03:40.607 22240 29381 D PhoneFallML: Activity=FALL_FROM_SITTING, FallProb=0.9593, AccPeak=12.23, AccMin=7.53, AccRange=4.70, AccStd=0.69, GyroPeak=1.83, JerkPeak=161.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=9ms
