--------- beginning of main
--------- beginning of system
09-02 16:43:24.609 22240  1839 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8306, AccPeak=9.87, AccMin=9.35, AccRange=0.52, AccStd=0.09, GyroPeak=0.01, JerkPeak=17.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=54ms
09-02 16:43:25.637 22240  1839 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8311, AccPeak=9.87, AccMin=9.42, AccRange=0.45, AccStd=0.07, GyroPeak=0.00, JerkPeak=17.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=22ms
09-02 16:43:26.656 22240  1837 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8329, AccPeak=9.64, AccMin=9.46, AccRange=0.18, AccStd=0.03, GyroPeak=0.00, JerkPeak=6.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=21ms
09-02 16:43:27.712 22240  1837 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8335, AccPeak=9.61, AccMin=9.52, AccRange=0.09, AccStd=0.01, GyroPeak=0.00, JerkPeak=2.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=20ms
09-02 16:43:28.687 22240  1837 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8326, AccPeak=9.58, AccMin=9.52, AccRange=0.05, AccStd=0.01, GyroPeak=0.00, JerkPeak=2.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=11ms
09-02 16:43:29.687 22240  1837 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8330, AccPeak=9.58, AccMin=9.53, AccRange=0.05, AccStd=0.01, GyroPeak=0.00, JerkPeak=1.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=9ms
09-02 16:43:30.683 22240  1839 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8340, AccPeak=9.58, AccMin=9.53, AccRange=0.05, AccStd=0.01, GyroPeak=0.00, JerkPeak=1.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=7ms
09-02 16:43:31.670 22240  1836 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8336, AccPeak=9.57, AccMin=9.53, AccRange=0.05, AccStd=0.01, GyroPeak=0.00, JerkPeak=1.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
09-02 16:43:32.667 22240  1834 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8330, AccPeak=9.58, AccMin=9.52, AccRange=0.06, AccStd=0.01, GyroPeak=0.00, JerkPeak=2.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=6ms
09-02 16:43:33.660 22240  1836 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8339, AccPeak=9.69, AccMin=9.46, AccRange=0.23, AccStd=0.04, GyroPeak=0.00, JerkPeak=8.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=11ms
09-02 16:43:34.643 22240  1839 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8337, AccPeak=9.69, AccMin=9.44, AccRange=0.25, AccStd=0.05, GyroPeak=0.00, JerkPeak=10.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=7ms
