--------- beginning of main
09-03 14:21:09.134 10063 10190 D WatchFallML: Activity=FALL_BACKWARD, FallProb=0.6497, AccPeak=10.21, AccMin=8.99, AccRange=1.22, AccStd=0.24, GyroPeak=0.91, JerkPeak=14.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=67ms
09-03 14:21:09.331 10063 10190 D WatchFallML: Activity=FALL_BACKWARD, FallProb=0.6672, AccPeak=9.73, AccMin=9.15, AccRange=0.57, AccStd=0.15, GyroPeak=0.49, JerkPeak=15.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=59ms
09-03 14:21:10.246 10063 10190 D WatchFallML: Activity=FALL_BACKWARD, FallProb=0.4057, AccPeak=9.88, AccMin=9.10, AccRange=0.78, AccStd=0.23, GyroPeak=0.49, JerkPeak=23.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=156ms
09-03 14:21:10.422 10063 10190 D WatchFallML: Activity=WALKING, FallProb=0.3556, AccPeak=12.96, AccMin=2.85, AccRange=10.11, AccStd=2.59, GyroPeak=7.21, JerkPeak=156.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=49ms
09-03 14:21:10.702 10063 10190 D WatchFallML: Activity=WALKING, FallProb=0.3332, AccPeak=22.57, AccMin=2.85, AccRange=19.72, AccStd=5.77, GyroPeak=8.10, JerkPeak=198.2, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=58ms
09-03 14:21:10.843 10063 10189 D WatchFallML: Activity=FALL_BACKWARD, FallProb=0.6440, AccPeak=9.97, AccMin=9.10, AccRange=0.87, AccStd=0.22, GyroPeak=0.47, JerkPeak=23.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=625ms
09-03 14:21:10.979 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4900, AccPeak=22.57, AccMin=8.48, AccRange=14.08, AccStd=4.22, GyroPeak=8.10, JerkPeak=198.2, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=94ms
09-03 14:21:11.218 10063 10189 D WatchFallML: Activity=WALKING, FallProb=0.4817, AccPeak=12.35, AccMin=8.48, AccRange=3.87, AccStd=1.22, GyroPeak=4.41, JerkPeak=65.7, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=107ms
09-03 14:21:11.596 10063 10189 D WatchFallML: Activity=WALKING, FallProb=0.3219, AccPeak=12.35, AccMin=7.67, AccRange=4.68, AccStd=1.30, GyroPeak=4.41, JerkPeak=65.7, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=86ms
09-03 14:21:12.127 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4322, AccPeak=22.49, AccMin=7.67, AccRange=14.82, AccStd=2.63, GyroPeak=6.57, JerkPeak=419.6, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=191ms
09-03 14:21:12.552 10063 10189 D WatchFallML: Activity=WALKING, FallProb=0.4808, AccPeak=22.49, AccMin=6.97, AccRange=15.52, AccStd=3.03, GyroPeak=6.57, JerkPeak=419.6, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=218ms
09-03 14:21:12.751 10063 10189 D WatchFallML: Activity=WALKING, FallProb=0.4650, AccPeak=13.06, AccMin=6.97, AccRange=6.09, AccStd=2.10, GyroPeak=4.03, JerkPeak=87.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=34ms
09-03 14:21:13.147 10063 10189 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.5848, AccPeak=13.06, AccMin=7.81, AccRange=5.25, AccStd=1.48, GyroPeak=2.92, JerkPeak=87.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=39ms
09-03 14:21:14.401 10063 10189 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.6584, AccPeak=11.93, AccMin=7.26, AccRange=4.67, AccStd=1.20, GyroPeak=2.69, JerkPeak=39.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=107ms
09-03 14:21:14.907 10063 10189 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.4550, AccPeak=11.93, AccMin=6.71, AccRange=5.23, AccStd=1.28, GyroPeak=1.70, JerkPeak=30.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=282ms
09-03 14:21:15.178 10063 10189 D WatchFallML: Activity=STANDING, FallProb=0.2513, AccPeak=13.23, AccMin=6.70, AccRange=6.53, AccStd=1.65, GyroPeak=2.85, JerkPeak=184.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=134ms
09-03 14:21:15.332 10063 10189 I WatchFallML: Potential impact collision detected! AccPeak=114.96292, JerkPeak=4670.8413. Awaiting post-impact stillness confirmation.
09-03 14:21:15.338 10063 10189 D WatchFallML: Activity=FALL_BACKWARD, FallProb=0.7700, AccPeak=114.96, AccMin=6.41, AccRange=108.55, AccStd=18.42, GyroPeak=9.52, JerkPeak=4670.8, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=57ms
09-03 14:21:15.348 10063 10190 D WatchFallML: Activity=RUNNING, FallProb=0.3718, AccPeak=23.63, AccMin=6.41, AccRange=17.22, AccStd=4.38, GyroPeak=5.06, JerkPeak=354.7, Impact=false, TemporalScore=3, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=180ms
09-03 14:21:15.462 10063 10190 I WatchFallML: Potential impact collision detected! AccPeak=114.96292, JerkPeak=4535.383. Awaiting post-impact stillness confirmation.
09-03 14:21:15.468 10063 10190 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.6600, AccPeak=114.96, AccMin=7.78, AccRange=107.18, AccStd=18.59, GyroPeak=9.52, JerkPeak=4535.4, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=28ms
09-03 14:21:15.839 10063 10063 I WatchFallML: Starting 10-second emergency countdown on Wear OS...
09-03 14:21:15.844 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4711, AccPeak=9.72, AccMin=9.48, AccRange=0.24, AccStd=0.06, GyroPeak=0.23, JerkPeak=11.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=61ms
09-03 14:21:15.859 10063 10190 D WatchFallML: Activity=WALKING, FallProb=0.1672, AccPeak=18.25, AccMin=7.78, AccRange=10.47, AccStd=2.02, GyroPeak=3.32, JerkPeak=257.6, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=198ms
09-03 14:21:16.008 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4057, AccPeak=9.67, AccMin=9.47, AccRange=0.20, AccStd=0.05, GyroPeak=0.13, JerkPeak=9.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=101ms
09-03 14:21:16.182 10063 10189 D WatchFallML: Activity=LYING_DOWN, FallProb=0.3514, AccPeak=9.67, AccMin=9.47, AccRange=0.20, AccStd=0.05, GyroPeak=0.07, JerkPeak=9.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=62ms
09-03 14:21:16.412 10063 10189 D WatchFallML: Activity=LYING_DOWN, FallProb=0.3614, AccPeak=9.67, AccMin=9.51, AccRange=0.16, AccStd=0.04, GyroPeak=0.06, JerkPeak=6.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=37ms
09-03 14:21:16.660 10063 10189 D WatchFallML: Activity=SITTING, FallProb=0.3664, AccPeak=9.74, AccMin=4.88, AccRange=4.87, AccStd=1.79, GyroPeak=0.04, JerkPeak=237.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=27ms
09-03 14:21:16.840 10063 10191 D WatchFallML: Activity=SITTING, FallProb=0.4168, AccPeak=15.44, AccMin=4.88, AccRange=10.56, AccStd=2.30, GyroPeak=0.04, JerkPeak=510.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=47ms
09-03 14:21:17.092 10063 10191 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4068, AccPeak=15.44, AccMin=5.24, AccRange=10.20, AccStd=1.62, GyroPeak=0.04, JerkPeak=510.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=21ms
09-03 14:21:17.456 10063 10190 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4168, AccPeak=11.43, AccMin=8.98, AccRange=2.45, AccStd=0.36, GyroPeak=0.04, JerkPeak=122.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=22ms
09-03 14:21:18.195 10063 10190 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4164, AccPeak=11.44, AccMin=9.24, AccRange=2.21, AccStd=0.36, GyroPeak=0.04, JerkPeak=107.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=52ms
09-03 14:21:18.576 10063 10190 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4064, AccPeak=11.44, AccMin=9.30, AccRange=2.15, AccStd=0.34, GyroPeak=0.04, JerkPeak=107.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=21ms
09-03 14:21:18.928 10063 10190 D WatchFallML: Activity=FALL_LEFT, FallProb=0.3864, AccPeak=9.67, AccMin=9.22, AccRange=0.45, AccStd=0.11, GyroPeak=0.06, JerkPeak=12.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=73ms
09-03 14:21:19.616 10063 10190 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4550, AccPeak=9.98, AccMin=8.51, AccRange=1.48, AccStd=0.31, GyroPeak=0.07, JerkPeak=67.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=27ms
09-03 14:21:20.251 10063 10190 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5725, AccPeak=9.98, AccMin=8.51, AccRange=1.48, AccStd=0.29, GyroPeak=0.38, JerkPeak=67.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=279ms
09-03 14:21:20.261 10063 10189 D WatchFallML: Activity=FALL_BACKWARD, FallProb=0.5081, AccPeak=9.64, AccMin=9.12, AccRange=0.52, AccStd=0.14, GyroPeak=0.38, JerkPeak=7.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=225ms
09-03 14:21:20.363 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4366, AccPeak=11.46, AccMin=6.11, AccRange=5.35, AccStd=0.70, GyroPeak=0.37, JerkPeak=267.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=27ms
09-03 14:21:20.645 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4072, AccPeak=11.46, AccMin=6.11, AccRange=5.35, AccStd=0.74, GyroPeak=0.07, JerkPeak=267.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=21ms
09-03 14:21:20.946 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4553, AccPeak=11.00, AccMin=9.09, AccRange=1.91, AccStd=0.30, GyroPeak=0.06, JerkPeak=92.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=108ms
09-03 14:21:21.640 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4253, AccPeak=14.26, AccMin=8.43, AccRange=5.83, AccStd=0.86, GyroPeak=0.06, JerkPeak=291.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=17ms
09-03 14:21:22.007 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4553, AccPeak=14.26, AccMin=8.43, AccRange=5.83, AccStd=0.86, GyroPeak=0.04, JerkPeak=291.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=9ms
09-03 14:21:22.256 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4950, AccPeak=9.66, AccMin=8.79, AccRange=0.87, AccStd=0.16, GyroPeak=0.04, JerkPeak=31.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=91ms
09-03 14:21:22.375 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4750, AccPeak=14.65, AccMin=8.14, AccRange=6.51, AccStd=0.92, GyroPeak=0.04, JerkPeak=325.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=35ms
09-03 14:21:22.878 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4253, AccPeak=14.65, AccMin=8.14, AccRange=6.51, AccStd=0.99, GyroPeak=0.04, JerkPeak=325.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=39ms
09-03 14:21:23.201 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4364, AccPeak=11.44, AccMin=4.67, AccRange=6.76, AccStd=1.28, GyroPeak=0.05, JerkPeak=245.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-03 14:21:23.666 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4364, AccPeak=9.89, AccMin=4.67, AccRange=5.22, AccStd=2.01, GyroPeak=0.05, JerkPeak=245.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=6ms
09-03 14:21:24.211 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4152, AccPeak=14.86, AccMin=4.93, AccRange=9.93, AccStd=2.24, GyroPeak=0.10, JerkPeak=327.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=144ms
09-03 14:21:24.877 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4276, AccPeak=14.86, AccMin=8.32, AccRange=6.55, AccStd=1.17, GyroPeak=0.46, JerkPeak=327.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=7ms
09-03 14:21:25.157 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5286, AccPeak=11.16, AccMin=9.16, AccRange=2.00, AccStd=0.31, GyroPeak=0.59, JerkPeak=95.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=6ms
09-03 14:21:25.416 10063 10189 D WatchFallML: Activity=FALL_BACKWARD, FallProb=0.5252, AccPeak=11.16, AccMin=7.10, AccRange=4.06, AccStd=0.54, GyroPeak=0.59, JerkPeak=162.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-03 14:21:25.633 10063 10189 D WatchFallML: Activity=FALL_BACKWARD, FallProb=0.4968, AccPeak=10.35, AccMin=7.10, AccRange=3.25, AccStd=0.45, GyroPeak=0.15, JerkPeak=162.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=41ms
09-03 14:21:25.961 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.6050, AccPeak=11.89, AccMin=8.69, AccRange=3.20, AccStd=0.29, GyroPeak=0.04, JerkPeak=160.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=10ms
09-03 14:21:26.186 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4764, AccPeak=14.28, AccMin=3.64, AccRange=10.64, AccStd=2.74, GyroPeak=0.04, JerkPeak=522.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=4ms
09-03 14:21:26.527 10063 10063 W WatchFallML: Countdown expired! Escalating to FALL_CONFIRMED -> SOS_TRIGGERED
09-03 14:21:26.749 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4964, AccPeak=14.28, AccMin=3.64, AccRange=10.64, AccStd=2.71, GyroPeak=0.08, JerkPeak=522.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=4ms
09-03 14:21:26.993 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5143, AccPeak=9.62, AccMin=9.39, AccRange=0.24, AccStd=0.05, GyroPeak=0.11, JerkPeak=7.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=5ms
09-03 14:21:27.569 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4950, AccPeak=11.65, AccMin=9.22, AccRange=2.43, AccStd=0.46, GyroPeak=0.11, JerkPeak=118.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=128ms
09-03 14:21:28.398 10063 10189 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4530, AccPeak=11.65, AccMin=9.22, AccRange=2.43, AccStd=0.47, GyroPeak=0.09, JerkPeak=118.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=4ms
