--------- beginning of main
09-02 19:08:41.906 23997  1819 D WatchFallML: Activity=STANDING, FallProb=0.2244, AccPeak=9.71, AccMin=9.53, AccRange=0.18, AccStd=0.05, GyroPeak=1.16, JerkPeak=8.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 19:08:42.535 23997  1819 D WatchFallML: Activity=STANDING, FallProb=0.1344, AccPeak=9.71, AccMin=9.53, AccRange=0.18, AccStd=0.05, GyroPeak=0.64, JerkPeak=8.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=1ms
09-02 19:08:44.005 23997  1819 D WatchFallML: Activity=STANDING, FallProb=0.1700, AccPeak=10.11, AccMin=9.45, AccRange=0.67, AccStd=0.09, GyroPeak=0.06, JerkPeak=33.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=15ms
09-02 19:08:44.765 23997  1819 D WatchFallML: Activity=SITTING, FallProb=0.1700, AccPeak=10.11, AccMin=9.45, AccRange=0.67, AccStd=0.09, GyroPeak=0.10, JerkPeak=33.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 19:08:45.662 23997  1819 D WatchFallML: Activity=SITTING, FallProb=0.1600, AccPeak=10.11, AccMin=9.45, AccRange=0.67, AccStd=0.09, GyroPeak=0.10, JerkPeak=33.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-02 19:08:46.248 23997  1819 D WatchFallML: Activity=SITTING, FallProb=0.1300, AccPeak=10.11, AccMin=9.44, AccRange=0.68, AccStd=0.09, GyroPeak=0.10, JerkPeak=33.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=29ms
09-02 19:08:47.395 23997  1819 D WatchFallML: Activity=SITTING, FallProb=0.1500, AccPeak=9.71, AccMin=9.44, AccRange=0.28, AccStd=0.05, GyroPeak=0.10, JerkPeak=9.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 19:08:48.053 23997  1819 D WatchFallML: Activity=SITTING, FallProb=0.1500, AccPeak=9.71, AccMin=9.44, AccRange=0.27, AccStd=0.06, GyroPeak=0.09, JerkPeak=9.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=20ms
09-02 19:08:49.676 23997  1819 D WatchFallML: Activity=SITTING, FallProb=0.1600, AccPeak=9.71, AccMin=9.44, AccRange=0.27, AccStd=0.05, GyroPeak=0.09, JerkPeak=9.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 19:08:50.017 23997  1819 D WatchFallML: Activity=SITTING, FallProb=0.1500, AccPeak=9.71, AccMin=9.45, AccRange=0.26, AccStd=0.05, GyroPeak=0.09, JerkPeak=12.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=6ms
09-02 19:08:51.179 23997  1819 D WatchFallML: Activity=SITTING, FallProb=0.1600, AccPeak=9.71, AccMin=9.45, AccRange=0.26, AccStd=0.06, GyroPeak=0.07, JerkPeak=12.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
