--------- beginning of main
09-03 13:46:51.988  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.1508, AccPeak=10.10, AccMin=9.25, AccRange=0.85, AccStd=0.18, GyroPeak=0.92, JerkPeak=14.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=4ms
09-03 13:46:52.235  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.2400, AccPeak=10.10, AccMin=9.59, AccRange=0.51, AccStd=0.10, GyroPeak=0.14, JerkPeak=8.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:46:52.662  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.3000, AccPeak=9.85, AccMin=9.59, AccRange=0.26, AccStd=0.08, GyroPeak=0.07, JerkPeak=9.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:46:52.801  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.2300, AccPeak=9.84, AccMin=9.59, AccRange=0.25, AccStd=0.07, GyroPeak=0.09, JerkPeak=10.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=1ms
09-03 13:46:53.216  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.2300, AccPeak=9.97, AccMin=9.61, AccRange=0.36, AccStd=0.10, GyroPeak=0.09, JerkPeak=11.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 13:46:53.683  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.2800, AccPeak=9.97, AccMin=9.61, AccRange=0.36, AccStd=0.10, GyroPeak=0.09, JerkPeak=11.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:46:53.870  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.1400, AccPeak=9.93, AccMin=9.57, AccRange=0.37, AccStd=0.08, GyroPeak=0.06, JerkPeak=9.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=4ms
09-03 13:46:54.215  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.1500, AccPeak=9.93, AccMin=9.57, AccRange=0.37, AccStd=0.08, GyroPeak=0.06, JerkPeak=7.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:46:54.541  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.1500, AccPeak=9.89, AccMin=9.66, AccRange=0.23, AccStd=0.07, GyroPeak=0.06, JerkPeak=9.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:46:54.915  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.1600, AccPeak=9.91, AccMin=9.56, AccRange=0.35, AccStd=0.08, GyroPeak=0.06, JerkPeak=9.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:46:55.115  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.1500, AccPeak=9.91, AccMin=9.56, AccRange=0.35, AccStd=0.08, GyroPeak=0.06, JerkPeak=9.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=11ms
09-03 13:46:55.476  5595  6185 D WatchFallML: Activity=SITTING, FallProb=0.1305, AccPeak=9.98, AccMin=9.62, AccRange=0.36, AccStd=0.09, GyroPeak=0.11, JerkPeak=8.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:46:55.792  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1405, AccPeak=9.98, AccMin=9.56, AccRange=0.41, AccStd=0.11, GyroPeak=0.11, JerkPeak=8.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:46:56.181  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1500, AccPeak=9.90, AccMin=9.56, AccRange=0.34, AccStd=0.09, GyroPeak=0.08, JerkPeak=8.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 13:46:56.820  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1300, AccPeak=9.90, AccMin=9.56, AccRange=0.34, AccStd=0.08, GyroPeak=0.08, JerkPeak=8.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:46:57.518  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1100, AccPeak=9.83, AccMin=9.56, AccRange=0.27, AccStd=0.06, GyroPeak=0.06, JerkPeak=8.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:46:57.800  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1200, AccPeak=9.90, AccMin=9.57, AccRange=0.33, AccStd=0.07, GyroPeak=0.07, JerkPeak=8.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=6ms
09-03 13:46:58.117  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1300, AccPeak=9.90, AccMin=9.57, AccRange=0.33, AccStd=0.07, GyroPeak=0.07, JerkPeak=9.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 13:46:58.352  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1500, AccPeak=9.88, AccMin=9.59, AccRange=0.29, AccStd=0.07, GyroPeak=0.07, JerkPeak=10.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=8ms
09-03 13:46:58.697  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1600, AccPeak=9.88, AccMin=9.58, AccRange=0.30, AccStd=0.07, GyroPeak=0.07, JerkPeak=10.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=4ms
09-03 13:46:58.925  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1300, AccPeak=9.92, AccMin=9.58, AccRange=0.34, AccStd=0.07, GyroPeak=0.05, JerkPeak=11.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:46:59.215  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1500, AccPeak=9.92, AccMin=9.62, AccRange=0.30, AccStd=0.07, GyroPeak=0.05, JerkPeak=11.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:46:59.503  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1300, AccPeak=9.99, AccMin=9.56, AccRange=0.43, AccStd=0.10, GyroPeak=0.10, JerkPeak=12.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=31ms
09-03 13:46:59.639  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1300, AccPeak=10.04, AccMin=9.53, AccRange=0.50, AccStd=0.15, GyroPeak=0.12, JerkPeak=12.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:00.048  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1800, AccPeak=10.04, AccMin=9.53, AccRange=0.50, AccStd=0.13, GyroPeak=0.12, JerkPeak=11.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=16ms
09-03 13:47:00.433  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.2900, AccPeak=9.92, AccMin=9.53, AccRange=0.39, AccStd=0.08, GyroPeak=0.06, JerkPeak=9.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=21ms
09-03 13:47:00.767  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1700, AccPeak=9.91, AccMin=9.53, AccRange=0.38, AccStd=0.08, GyroPeak=0.07, JerkPeak=11.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
