--------- beginning of main
09-03 14:03:09.044  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.0634, AccPeak=18.81, AccMin=2.66, AccRange=16.15, AccStd=3.43, GyroPeak=0.70, JerkPeak=677.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=27ms
09-03 14:03:09.394  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.2200, AccPeak=14.69, AccMin=2.66, AccRange=12.03, AccStd=2.53, GyroPeak=0.05, JerkPeak=506.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=4ms
09-03 14:03:09.654  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1900, AccPeak=14.69, AccMin=6.74, AccRange=7.94, AccStd=1.06, GyroPeak=0.04, JerkPeak=397.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=4ms
09-03 14:03:09.991  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.1200, AccPeak=9.84, AccMin=9.46, AccRange=0.38, AccStd=0.08, GyroPeak=0.10, JerkPeak=11.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=4ms
09-03 14:03:10.331  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.0800, AccPeak=9.84, AccMin=9.46, AccRange=0.38, AccStd=0.08, GyroPeak=0.10, JerkPeak=15.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 14:03:10.654  5595  8531 D WatchFallML: Activity=SITTING, FallProb=0.0400, AccPeak=9.78, AccMin=9.47, AccRange=0.31, AccStd=0.06, GyroPeak=0.07, JerkPeak=15.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 14:03:10.998  5595  8531 D WatchFallML: Activity=SITTING, FallProb=0.0800, AccPeak=9.78, AccMin=9.51, AccRange=0.27, AccStd=0.05, GyroPeak=0.13, JerkPeak=6.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 14:03:11.341  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1101, AccPeak=15.41, AccMin=3.75, AccRange=11.67, AccStd=1.95, GyroPeak=0.16, JerkPeak=458.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 14:03:11.669  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.0901, AccPeak=20.08, AccMin=3.72, AccRange=16.36, AccStd=3.39, GyroPeak=0.16, JerkPeak=598.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=1ms
09-03 14:03:12.002  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.0400, AccPeak=20.08, AccMin=3.72, AccRange=16.36, AccStd=3.18, GyroPeak=0.06, JerkPeak=629.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 14:03:12.335  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.0700, AccPeak=17.82, AccMin=2.89, AccRange=14.93, AccStd=2.88, GyroPeak=0.05, JerkPeak=629.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
