--------- beginning of main
09-02 19:01:12.393 23997   808 D WatchFallML: Activity=SITTING, FallProb=0.2940, AccPeak=10.24, AccMin=8.33, AccRange=1.91, AccStd=0.30, GyroPeak=1.73, JerkPeak=42.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=4ms
09-02 19:01:12.477 23997   808 D WatchFallML: Activity=SITTING, FallProb=0.3038, AccPeak=10.24, AccMin=7.60, AccRange=2.64, AccStd=0.42, GyroPeak=2.10, JerkPeak=42.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 19:01:13.117 23997   808 I WatchFallML: Potential impact collision detected! AccPeak=80.58402, JerkPeak=1721.0441. Awaiting post-impact stillness confirmation.
09-02 19:01:13.123 23997   808 D WatchFallML: Activity=JUMPING, FallProb=0.2500, AccPeak=80.58, AccMin=1.05, AccRange=79.53, AccStd=19.57, GyroPeak=10.17, JerkPeak=1721.0, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=2ms
09-02 19:01:13.341 23997   808 I WatchFallML: Potential impact collision detected! AccPeak=80.58402, JerkPeak=1721.0441. Awaiting post-impact stillness confirmation.
09-02 19:01:13.342 23997   808 D WatchFallML: Activity=JUMPING, FallProb=0.2300, AccPeak=80.58, AccMin=1.05, AccRange=79.53, AccStd=19.77, GyroPeak=10.17, JerkPeak=1721.0, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=2ms
09-02 19:01:14.208 23997   808 I WatchFallML: Potential impact collision detected! AccPeak=80.58402, JerkPeak=1721.0441. Awaiting post-impact stillness confirmation.
09-02 19:01:14.209 23997   808 D WatchFallML: Activity=JUMPING, FallProb=0.1300, AccPeak=80.58, AccMin=1.05, AccRange=79.53, AccStd=20.44, GyroPeak=11.55, JerkPeak=1721.0, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=1ms
09-02 19:01:14.735 23997   808 I WatchFallML: Potential impact collision detected! AccPeak=80.58402, JerkPeak=1721.0441. Awaiting post-impact stillness confirmation.
09-02 19:01:14.737 23997   808 D WatchFallML: Activity=JUMPING, FallProb=0.1400, AccPeak=80.58, AccMin=1.05, AccRange=79.53, AccStd=20.41, GyroPeak=11.55, JerkPeak=1721.0, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=2ms
09-02 19:01:15.257 23997   808 I WatchFallML: Potential impact collision detected! AccPeak=86.60278, JerkPeak=1866.2024. Awaiting post-impact stillness confirmation.
