--------- beginning of main
09-03 13:45:47.034  5595  6185 D WatchFallML: Activity=SITTING, FallProb=0.1761, AccPeak=9.69, AccMin=9.38, AccRange=0.32, AccStd=0.09, GyroPeak=5.96, JerkPeak=7.5, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=10ms
09-03 13:45:47.219  5595  6185 D WatchFallML: Activity=SITTING, FallProb=0.1603, AccPeak=9.67, AccMin=6.79, AccRange=2.88, AccStd=0.51, GyroPeak=1.31, JerkPeak=50.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=10ms
09-03 13:45:47.890  5595  6185 D WatchFallML: Activity=WALKING, FallProb=0.3277, AccPeak=20.43, AccMin=5.97, AccRange=14.47, AccStd=4.21, GyroPeak=10.00, JerkPeak=115.0, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=39ms
09-03 13:45:47.967  5595  6185 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5514, AccPeak=20.43, AccMin=5.97, AccRange=14.47, AccStd=4.43, GyroPeak=10.00, JerkPeak=117.6, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=16ms
09-03 13:45:48.176  5595  6937 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.4219, AccPeak=19.05, AccMin=6.27, AccRange=12.78, AccStd=2.47, GyroPeak=7.00, JerkPeak=117.6, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=4ms
09-03 13:45:48.517  5595  5795 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.3535, AccPeak=12.43, AccMin=5.83, AccRange=6.60, AccStd=2.09, GyroPeak=3.03, JerkPeak=145.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
09-03 13:45:48.856  5595  6937 D WatchFallML: Activity=STANDING, FallProb=0.1731, AccPeak=14.13, AccMin=5.83, AccRange=8.30, AccStd=2.29, GyroPeak=3.03, JerkPeak=145.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=true, State=MONITORING, Latency=5ms
09-03 13:45:49.389  5595  6185 D WatchFallML: Activity=STANDING, FallProb=0.2479, AccPeak=14.13, AccMin=8.12, AccRange=6.01, AccStd=1.64, GyroPeak=1.86, JerkPeak=102.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=20ms
09-03 13:45:49.802  5595  6185 D WatchFallML: Activity=SITTING, FallProb=0.2035, AccPeak=12.16, AccMin=8.12, AccRange=4.04, AccStd=0.83, GyroPeak=1.33, JerkPeak=95.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=18ms
09-03 13:45:50.570  5595  6185 D WatchFallML: Activity=SITTING, FallProb=0.4403, AccPeak=10.44, AccMin=9.01, AccRange=1.43, AccStd=0.32, GyroPeak=0.89, JerkPeak=20.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=72ms
09-03 13:45:50.753  5595  6185 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.5400, AccPeak=10.44, AccMin=9.54, AccRange=0.89, AccStd=0.20, GyroPeak=0.38, JerkPeak=17.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
