--------- beginning of main
09-02 16:43:24.426 23997 24211 D WatchFallML: Activity=STANDING, FallProb=0.1514, AccPeak=9.73, AccMin=9.46, AccRange=0.26, AccStd=0.06, GyroPeak=0.90, JerkPeak=12.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=46ms
09-02 16:43:24.643 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5900, AccPeak=9.73, AccMin=9.48, AccRange=0.25, AccStd=0.06, GyroPeak=0.01, JerkPeak=12.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=33ms
09-02 16:43:25.096 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.6100, AccPeak=9.70, AccMin=9.48, AccRange=0.23, AccStd=0.06, GyroPeak=0.01, JerkPeak=9.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=34ms
09-02 16:43:25.447 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.6000, AccPeak=9.69, AccMin=9.50, AccRange=0.19, AccStd=0.05, GyroPeak=0.01, JerkPeak=9.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=98ms
09-02 16:43:25.681 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.6000, AccPeak=9.72, AccMin=9.48, AccRange=0.23, AccStd=0.05, GyroPeak=0.01, JerkPeak=11.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=27ms
09-02 16:43:25.992 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.77, AccMin=9.48, AccRange=0.29, AccStd=0.07, GyroPeak=0.01, JerkPeak=11.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=54ms
09-02 16:43:26.634 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.77, AccMin=9.49, AccRange=0.28, AccStd=0.07, GyroPeak=0.01, JerkPeak=9.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=39ms
09-02 16:43:26.840 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.6000, AccPeak=9.72, AccMin=9.49, AccRange=0.23, AccStd=0.06, GyroPeak=0.01, JerkPeak=8.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=34ms
09-02 16:43:27.059 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.6000, AccPeak=9.69, AccMin=9.49, AccRange=0.20, AccStd=0.05, GyroPeak=0.01, JerkPeak=8.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=64ms
09-02 16:43:27.539 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.6000, AccPeak=9.66, AccMin=9.49, AccRange=0.17, AccStd=0.05, GyroPeak=0.01, JerkPeak=8.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=60ms
09-02 16:43:27.786 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.6000, AccPeak=9.70, AccMin=9.53, AccRange=0.17, AccStd=0.05, GyroPeak=0.01, JerkPeak=7.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=195ms
