--------- beginning of main
09-02 16:45:32.960 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.3112, AccPeak=9.80, AccMin=8.61, AccRange=1.19, AccStd=0.28, GyroPeak=0.95, JerkPeak=17.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:33.217 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.3500, AccPeak=13.18, AccMin=9.01, AccRange=4.17, AccStd=1.38, GyroPeak=3.46, JerkPeak=33.7, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=1ms
09-02 16:45:33.540 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.3465, AccPeak=13.18, AccMin=7.42, AccRange=5.76, AccStd=1.80, GyroPeak=5.42, JerkPeak=44.6, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=4ms
09-02 16:45:33.773 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.1985, AccPeak=12.91, AccMin=5.62, AccRange=7.29, AccStd=1.80, GyroPeak=5.42, JerkPeak=75.1, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:34.024 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.2609, AccPeak=13.39, AccMin=5.62, AccRange=7.77, AccStd=2.33, GyroPeak=5.46, JerkPeak=75.1, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:34.298 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.1894, AccPeak=19.64, AccMin=5.62, AccRange=14.02, AccStd=2.69, GyroPeak=5.46, JerkPeak=255.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:34.582 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.4906, AccPeak=19.64, AccMin=7.37, AccRange=12.27, AccStd=2.52, GyroPeak=6.13, JerkPeak=255.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=12ms
09-02 16:45:35.059 23997 24211 I WatchFallML: Potential impact collision detected! AccPeak=25.848574, JerkPeak=354.0006. Awaiting post-impact stillness confirmation.
09-02 16:45:35.060 23997 24211 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.4700, AccPeak=25.85, AccMin=7.37, AccRange=18.48, AccStd=5.07, GyroPeak=7.30, JerkPeak=354.0, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:35.556 23997 24211 I WatchFallML: Potential impact collision detected! AccPeak=25.848574, JerkPeak=354.0006. Awaiting post-impact stillness confirmation.
09-02 16:45:35.557 23997 24211 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5000, AccPeak=25.85, AccMin=7.29, AccRange=18.56, AccStd=5.41, GyroPeak=7.30, JerkPeak=354.0, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=1ms
