device,activity,fall_binary,sessions,total_rows,total_duration_sec
WATCH,STANDING,NORMAL,29,119699,799.35
WATCH,SITTING,NORMAL,24,111299,826.59
WATCH,WALKING,NORMAL,21,86740,578.69
WATCH,RUNNING,NORMAL,19,84587,591.54
WATCH,LYING_DOWN,NORMAL,12,83218,555.61
WATCH,JUMPING,NORMAL,20,39115,260.97
WATCH,SIT_DOWN,NORMAL,15,12250,81.58
WATCH,STAND_UP,NORMAL,24,19154,127.31
WATCH,PICKING_UP_OBJECT,NORMAL,10,8864,59.06
WATCH,FALL_FORWARD,FALL,35,198188,1324.09
WATCH,FALL_BACKWARD,FALL,10,49342,329.45
WATCH,FALL_LEFT,FALL,19,94090,693.42
WATCH,FALL_RIGHT,FALL,13,34993,233.26
WATCH,FALL_FROM_SITTING,FALL,1,2202,14.69
PHONE,STANDING,NORMAL,20,40920,3172.80
PHONE,SITTING,NORMAL,25,66148,41471.35
PHONE,WALKING,NORMAL,24,85877,1033.53
PHONE,RUNNING,NORMAL,18,79371,1421.45
PHONE,LYING_DOWN,NORMAL,12,38636,2153.91
PHONE,JUMPING,NORMAL,20,21544,442.19
PHONE,SIT_DOWN,NORMAL,20,17213,622.58
PHONE,STAND_UP,NORMAL,18,16030,332.28
PHONE,PICKING_UP_OBJECT,NORMAL,10,9213,135.04
PHONE,FALL_FORWARD,FALL,23,107630,6897.14
PHONE,FALL_BACKWARD,FALL,22,128452,2754.71
PHONE,FALL_LEFT,FALL,23,64892,1792.77
PHONE,FALL_RIGHT,FALL,12,32503,422.20
PHONE,FALL_FROM_SITTING,FALL,13,40846,625.30
