device,activity,fall_binary,train_windows,validation_windows,test_windows,total_windows
WATCH,STANDING,NORMAL,1871,275,205,2351
WATCH,SITTING,NORMAL,1323,542,323,2188
WATCH,WALKING,NORMAL,1362,168,176,1706
WATCH,RUNNING,NORMAL,1128,243,292,1663
WATCH,LYING_DOWN,NORMAL,924,245,478,1647
WATCH,JUMPING,NORMAL,515,117,123,755
WATCH,SIT_DOWN,NORMAL,149,32,43,224
WATCH,STAND_UP,NORMAL,243,71,32,346
WATCH,PICKING_UP_OBJECT,NORMAL,116,0,46,162
WATCH,FALL_FORWARD,FALL,2828,553,531,3912
WATCH,FALL_BACKWARD,FALL,563,85,324,972
WATCH,FALL_LEFT,FALL,1793,61,0,1854
WATCH,FALL_RIGHT,FALL,539,84,56,679
WATCH,FALL_FROM_SITTING,FALL,0,43,0,43
PHONE,STANDING,NORMAL,431,156,199,786
PHONE,SITTING,NORMAL,904,341,39,1284
PHONE,WALKING,NORMAL,1018,355,308,1681
PHONE,RUNNING,NORMAL,1163,224,174,1561
PHONE,LYING_DOWN,NORMAL,614,140,0,754
PHONE,JUMPING,NORMAL,282,37,83,402
PHONE,SIT_DOWN,NORMAL,219,52,42,313
PHONE,STAND_UP,NORMAL,212,16,66,294
PHONE,PICKING_UP_OBJECT,NORMAL,102,49,18,169
PHONE,FALL_FORWARD,FALL,1493,304,320,2117
PHONE,FALL_BACKWARD,FALL,1800,552,182,2534
PHONE,FALL_LEFT,FALL,458,382,424,1264
PHONE,FALL_RIGHT,FALL,433,98,101,632
PHONE,FALL_FROM_SITTING,FALL,569,157,72,798
