device,filename,session_id,activity,fall_binary,split,rows,duration,first_timestamp,last_timestamp
WATCH,SESSION_20260831_130618_E3A0_WATCH.csv,SESSION_20260831_130618_E3A0,SITTING,NORMAL,TRAIN,2290,23.105,1788161777481,1788161800586
WATCH,SESSION_20260831_130655_4D60_WATCH.csv,SESSION_20260831_130655_4D60,SITTING,NORMAL,TRAIN,2616,17.463,1788161814068,1788161831531
WATCH,SESSION_20260831_130733_B21B_WATCH.csv,SESSION_20260831_130733_B21B,SITTING,NORMAL,TRAIN,10806,72.229,1788161852454,1788161924683
WATCH,SESSION_20260831_130916_06A4_WATCH.csv,SESSION_20260831_130916_06A4,SITTING,NORMAL,VALIDATION,10540,90.832,1788161955674,1788162046506
WATCH,SESSION_20260831_131244_7E37_WATCH.csv,SESSION_20260831_131244_7E37,SITTING,NORMAL,TRAIN,10466,124.652,1788162163484,1788162288136
WATCH,SESSION_20260831_131942_B5D9_WATCH.csv,SESSION_20260831_131942_B5D9,SITTING,NORMAL,VALIDATION,6834,45.684,1788162581921,1788162627605
WATCH,SESSION_20260831_132734_172A_WATCH.csv,SESSION_20260831_132734_172A,SITTING,NORMAL,TRAIN,3086,20.623,1788163054547,1788163075170
WATCH,SESSION_20260831_132901_68CF_WATCH.csv,SESSION_20260831_132901_68CF,SITTING,NORMAL,TRAIN,3153,21.064,1788163141789,1788163162853
WATCH,SESSION_20260831_133335_6EAF_WATCH.csv,SESSION_20260831_133335_6EAF,SITTING,NORMAL,TEST,4623,30.896,1788163415075,1788163445971
WATCH,SESSION_20260831_133439_6114_WATCH.csv,SESSION_20260831_133439_6114,SITTING,NORMAL,TRAIN,1752,11.693,1788163479571,1788163491264
WATCH,SESSION_20260831_133502_D60B_WATCH.csv,SESSION_20260831_133502_D60B,SITTING,NORMAL,TRAIN,3180,21.244,1788163502900,1788163524144
WATCH,SESSION_20260831_133534_5085_WATCH.csv,SESSION_20260831_133534_5085,SITTING,NORMAL,VALIDATION,5110,34.167,1788163534749,1788163568916
WATCH,SESSION_20260831_133617_8F51_WATCH.csv,SESSION_20260831_133617_8F51,SITTING,NORMAL,TRAIN,4284,28.624,1788163577461,1788163606085
WATCH,SESSION_20260831_133654_7800_WATCH.csv,SESSION_20260831_133654_7800,SITTING,NORMAL,TEST,3099,20.698,1788163614370,1788163635068
WATCH,SESSION_20260831_133723_F10E_WATCH.csv,SESSION_20260831_133723_F10E,SITTING,NORMAL,TRAIN,3299,22.04,1788163643634,1788163665674
WATCH,SESSION_20260831_133803_E6DE_WATCH.csv,SESSION_20260831_133803_E6DE,SITTING,NORMAL,TRAIN,3837,25.633,1788163683893,1788163709526
WATCH,SESSION_20260831_133842_4924_WATCH.csv,SESSION_20260831_133842_4924,SITTING,NORMAL,TRAIN,2994,19.999,1788163722438,1788163742437
WATCH,SESSION_20260831_133955_8F51_WATCH.csv,SESSION_20260831_133955_8F51,SITTING,NORMAL,TRAIN,3090,20.639,1788163795487,1788163816126
WATCH,SESSION_20260831_162742_0C68_WATCH.csv,SESSION_20260831_162742_0C68,SITTING,NORMAL,TRAIN,3881,25.927,1788173862224,1788173888151
WATCH,SESSION_20260831_162817_DB8C_WATCH.csv,SESSION_20260831_162817_DB8C,SITTING,NORMAL,VALIDATION,4920,32.866,1788173897755,1788173930621
WATCH,SESSION_20260831_162855_17D7_WATCH.csv,SESSION_20260831_162855_17D7,SITTING,NORMAL,TEST,4399,29.396,1788173935835,1788173965231
WATCH,SESSION_20260831_162935_9671_WATCH.csv,SESSION_20260831_162935_9671,SITTING,NORMAL,TRAIN,4356,29.096,1788173975716,1788174004812
WATCH,SESSION_20260831_163021_1E54_WATCH.csv,SESSION_20260831_163021_1E54,SITTING,NORMAL,TRAIN,4298,28.719,1788174021505,1788174050224
WATCH,SESSION_20260831_163100_9878_WATCH.csv,SESSION_20260831_163100_9878,SITTING,NORMAL,TEST,4386,29.304,1788174060773,1788174090077
WATCH,SESSION_20260831_163359_4327_WATCH.csv,SESSION_20260831_163359_4327,STANDING,NORMAL,TRAIN,3675,24.546,1788174239195,1788174263741
WATCH,SESSION_20260831_163439_83DC_WATCH.csv,SESSION_20260831_163439_83DC,STANDING,NORMAL,TRAIN,4233,28.281,1788174279536,1788174307817
WATCH,SESSION_20260831_163523_866A_WATCH.csv,SESSION_20260831_163523_866A,STANDING,NORMAL,VALIDATION,4806,32.114,1788174323544,1788174355658
WATCH,SESSION_20260831_163604_25DD_WATCH.csv,SESSION_20260831_163604_25DD,STANDING,NORMAL,TEST,5474,36.581,1788174364919,1788174401500
WATCH,SESSION_20260831_163649_29E0_WATCH.csv,SESSION_20260831_163649_29E0,STANDING,NORMAL,TRAIN,4773,31.894,1788174409353,1788174441247
WATCH,SESSION_20260831_163732_3BBC_WATCH.csv,SESSION_20260831_163732_3BBC,STANDING,NORMAL,TRAIN,5006,33.46,1788174452313,1788174485773
WATCH,SESSION_20260831_163815_A769_WATCH.csv,SESSION_20260831_163815_A769,STANDING,NORMAL,TRAIN,5451,36.428,1788174495923,1788174532351
