device,filename,session_id,activity,fall_binary,split,rows,duration,first_timestamp,last_timestamp
WATCH,SESSION_20260831_130618_E3A0_WATCH.csv,SESSION_20260831_130618_E3A0,SITTING,NORMAL,TRAIN,2290,23.105,1788161777481,1788161800586
WATCH,SESSION_20260831_130655_4D60_WATCH.csv,SESSION_20260831_130655_4D60,SITTING,NORMAL,TRAIN,2616,17.463,1788161814068,1788161831531
WATCH,SESSION_20260831_130733_B21B_WATCH.csv,SESSION_20260831_130733_B21B,SITTING,NORMAL,TRAIN,10806,72.229,1788161852454,1788161924683
WATCH,SESSION_20260831_131244_7E37_WATCH.csv,SESSION_20260831_131244_7E37,SITTING,NORMAL,TRAIN,10466,124.652,1788162163484,1788162288136
WATCH,SESSION_20260831_132734_172A_WATCH.csv,SESSION_20260831_132734_172A,SITTING,NORMAL,TRAIN,3086,20.623,1788163054547,1788163075170
WATCH,SESSION_20260831_132901_68CF_WATCH.csv,SESSION_20260831_132901_68CF,SITTING,NORMAL,TRAIN,3153,21.064,1788163141789,1788163162853
WATCH,SESSION_20260831_133439_6114_WATCH.csv,SESSION_20260831_133439_6114,SITTING,NORMAL,TRAIN,1752,11.693,1788163479571,1788163491264
WATCH,SESSION_20260831_133502_D60B_WATCH.csv,SESSION_20260831_133502_D60B,SITTING,NORMAL,TRAIN,3180,21.244,1788163502900,1788163524144
WATCH,SESSION_20260831_133617_8F51_WATCH.csv,SESSION_20260831_133617_8F51,SITTING,NORMAL,TRAIN,4284,28.624,1788163577461,1788163606085
WATCH,SESSION_20260831_133723_F10E_WATCH.csv,SESSION_20260831_133723_F10E,SITTING,NORMAL,TRAIN,3299,22.04,1788163643634,1788163665674
WATCH,SESSION_20260831_133803_E6DE_WATCH.csv,SESSION_20260831_133803_E6DE,SITTING,NORMAL,TRAIN,3837,25.633,1788163683893,1788163709526
WATCH,SESSION_20260831_133842_4924_WATCH.csv,SESSION_20260831_133842_4924,SITTING,NORMAL,TRAIN,2994,19.999,1788163722438,1788163742437
WATCH,SESSION_20260831_133955_8F51_WATCH.csv,SESSION_20260831_133955_8F51,SITTING,NORMAL,TRAIN,3090,20.639,1788163795487,1788163816126
WATCH,SESSION_20260831_162742_0C68_WATCH.csv,SESSION_20260831_162742_0C68,SITTING,NORMAL,TRAIN,3881,25.927,1788173862224,1788173888151
WATCH,SESSION_20260831_162935_9671_WATCH.csv,SESSION_20260831_162935_9671,SITTING,NORMAL,TRAIN,4356,29.096,1788173975716,1788174004812
WATCH,SESSION_20260831_163021_1E54_WATCH.csv,SESSION_20260831_163021_1E54,SITTING,NORMAL,TRAIN,4298,28.719,1788174021505,1788174050224
WATCH,SESSION_20260831_163359_4327_WATCH.csv,SESSION_20260831_163359_4327,STANDING,NORMAL,TRAIN,3675,24.546,1788174239195,1788174263741
WATCH,SESSION_20260831_163439_83DC_WATCH.csv,SESSION_20260831_163439_83DC,STANDING,NORMAL,TRAIN,4233,28.281,1788174279536,1788174307817
WATCH,SESSION_20260831_163649_29E0_WATCH.csv,SESSION_20260831_163649_29E0,STANDING,NORMAL,TRAIN,4773,31.894,1788174409353,1788174441247
WATCH,SESSION_20260831_163732_3BBC_WATCH.csv,SESSION_20260831_163732_3BBC,STANDING,NORMAL,TRAIN,5006,33.46,1788174452313,1788174485773
WATCH,SESSION_20260831_163815_A769_WATCH.csv,SESSION_20260831_163815_A769,STANDING,NORMAL,TRAIN,5451,36.428,1788174495923,1788174532351
WATCH,SESSION_20260831_163857_AC7A_WATCH.csv,SESSION_20260831_163857_AC7A,STANDING,NORMAL,TRAIN,5307,35.463,1788174537457,1788174572920
WATCH,SESSION_20260831_163942_C471_WATCH.csv,SESSION_20260831_163942_C471,STANDING,NORMAL,TRAIN,5793,38.721,1788174582157,1788174620878
WATCH,SESSION_20260831_164029_08AD_WATCH.csv,SESSION_20260831_164029_08AD,STANDING,NORMAL,TRAIN,5424,36.253,1788174629957,1788174666210
WATCH,SESSION_20260831_164222_2B63_WATCH.csv,SESSION_20260831_164222_2B63,STANDING,NORMAL,TRAIN,3963,26.48,1788174742920,1788174769400
WATCH,SESSION_20260831_164259_20DE_WATCH.csv,SESSION_20260831_164259_20DE,STANDING,NORMAL,TRAIN,4531,30.281,1788174779947,1788174810228
WATCH,SESSION_20260831_171552_10CB_WATCH.csv,SESSION_20260831_171552_10CB,STANDING,NORMAL,TRAIN,4103,27.393,1788176752793,1788176780186
WATCH,SESSION_20260831_171624_838F_WATCH.csv,SESSION_20260831_171624_838F,STANDING,NORMAL,TRAIN,3810,25.435,1788176784769,1788176810204
WATCH,SESSION_20260831_171706_B5E5_WATCH.csv,SESSION_20260831_171706_B5E5,STANDING,NORMAL,TRAIN,4395,29.34,1788176826292,1788176855632
WATCH,SESSION_20260831_171746_0D64_WATCH.csv,SESSION_20260831_171746_0D64,STANDING,NORMAL,TRAIN,4839,32.317,1788176866871,1788176899188
WATCH,SESSION_20260831_171825_3B40_WATCH.csv,SESSION_20260831_171825_3B40,STANDING,NORMAL,TRAIN,3438,22.948,1788176905748,1788176928696
